=================================================
PTK-HUIM-DFS Results: Top-10000 Patterns
Parameters: k=10000, minProb=0,7000, parallel=true
=================================================
Rank   Pattern                                  Expected Util   Exist Prob     
297    [29, 46, 70]                             22795.9546      1.000000       
298    [50, 71]                                 22786.7570      1.000000       
299    [1, 9]                                   22767.7050      1.000000       
300    [3, 46, 50]                              22749.6782      1.000000       
301    [21, 71]                                 22749.3833      1.000000       
302    [2, 60]                                  22748.0754      1.000000       
303    [27, 46, 58]                             22745.4273      1.000000       
304    [13, 54]                                 22743.8724      1.000000       
305    [5, 19, 46]                              22741.0022      1.000000       
306    [5, 27, 46]                              22739.3634      1.000000       
307    [15, 21, 46]                             22694.7132      1.000000       
308    [7, 25, 46]                              22694.3861      1.000000       
309    [25, 42, 46]                             22682.2238      1.000000       
310    [19, 27, 46]                             22647.4133      1.000000       
311    [5, 9, 70]                               22647.3821      1.000000       
312    [13, 70]                                 22644.1852      1.000000       
313    [11, 19, 46]                             22606.3115      1.000000       
314    [1, 50]                                  22548.2087      1.000000       
315    [21, 46, 54]                             22533.7678      1.000000       
316    [5, 46, 58]                              22532.0100      1.000000       
317    [46, 73]                                 22500.6186      1.000000       
318    [21, 46, 58]                             22488.3802      1.000000       
319    [44, 70]                                 22477.9168      1.000000       
320    [9, 15, 70]                              22463.6091      1.000000       
321    [15, 17, 46]                             22450.2973      1.000000       
322    [42, 46, 70]                             22439.4717      1.000000       
323    [25, 46, 70]                             22423.4418      1.000000       
324    [9, 13, 46]                              22396.9497      1.000000       
325    [46, 54, 70]                             22363.6391      1.000000       
326    [21, 46, 52]                             22359.2546      1.000000       
327    [19, 46, 52]                             22348.8537      1.000000       
328    [7, 27, 46]                              22297.6258      1.000000       
329    [27, 71]                                 22297.3412      1.000000       
330    [19, 34]                                 22276.4712      1.000000       
331    [42, 54]                                 22240.8404      1.000000       
332    [39, 71]                                 22226.0138      1.000000       
333    [2, 13]                                  22219.7640      1.000000       
334    [11, 19]                                 22210.9516      1.000000       
335    [7, 19, 46]                              22192.6232      1.000000       
336    [5, 7, 46]                               22172.6502      1.000000       
337    [19, 46, 58]                             22138.9083      1.000000       
338    [44, 46, 54]                             22079.0351      1.000000       
339    [46, 50, 74]                             22078.1946      1.000000       
340    [2, 46, 58]                              22070.0960      1.000000       
341    [23, 46]                                 22060.8624      1.000000       
342    [34, 44, 46]                             22036.9472      1.000000       
343    [3, 34, 46]                              22033.3614      1.000000       
344    [7, 21, 46]                              22016.6593      1.000000       
345    [46, 48, 50]                             21984.3209      1.000000       
346    [5, 9, 34]                               21983.6537      1.000000       
347    [11, 25, 46]                             21964.7075      1.000000       
348    [21, 58]                                 21943.5403      1.000000       
349    [31, 70]                                 21937.7600      1.000000       
350    [5, 46, 52]                              21934.5452      1.000000       
351    [27, 46, 52]                             21934.4095      1.000000       
352    [54, 58]                                 21921.9744      1.000000       
353    [9, 11, 34]                              21921.8643      1.000000       
354    [9, 42, 50]                              21917.3776      1.000000       
355    [25, 46, 60]                             21916.7570      1.000000       
356    [2, 46, 52]                              21892.9496      1.000000       
357    [42, 46, 54]                             21880.6105      1.000000       
358    [9, 25, 34]                              21853.3055      1.000000       
359    [44, 46, 50]                             21831.7572      1.000000       
360    [9, 27, 50]                              21825.3196      1.000000       
361    [3, 15, 46]                              21789.2111      1.000000       
362    [5, 42, 46]                              21781.1772      1.000000       
363    [11, 46, 58]                             21778.0595      1.000000       
364    [15, 51]                                 21776.0057      1.000000       
365    [5, 11, 46]                              21766.6433      1.000000       
366    [21, 27, 46]                             21766.2507      1.000000       
367    [11, 27, 46]                             21758.1587      1.000000       
368    [21, 68]                                 21750.5300      1.000000       
369    [2, 46, 54]                              21728.8395      1.000000       
370    [15, 44]                                 21700.9314      1.000000       
371    [9, 11, 50]                              21688.9530      1.000000       
372    [46, 50, 66]                             21665.4460      1.000000       
373    [2, 5, 46]                               21607.8809      1.000000       
374    [25, 29, 46]                             21598.3775      1.000000       
375    [25, 46, 74]                             21597.5602      1.000000       
376    [15, 39]                                 21578.5935      1.000000       
377    [15, 34, 50]                             21564.4002      1.000000       
378    [3, 70]                                  21559.4216      1.000000       
379    [9, 15, 21]                              21557.3117      1.000000       
380    [19, 29, 46]                             21550.5766      1.000000       
381    [15, 34, 70]                             21533.7438      1.000000       
382    [21, 42, 46]                             21493.9549      1.000000       
383    [5, 34]                                  21485.3877      1.000000       
384    [27, 29, 46]                             21485.0812      1.000000       
385    [54, 71]                                 21481.8636      1.000000       
386    [54, 68]                                 21459.6657      1.000000       
387    [2, 44, 46]                              21458.2778      1.000000       
388    [15, 71]                                 21420.9037      1.000000       
389    [27, 46, 60]                             21408.0685      1.000000       
390    [2, 25, 46]                              21396.7993      1.000000       
391    [2, 46, 50]                              21385.7142      1.000000       
392    [2, 29, 46]                              21379.7735      1.000000       
393    [7, 9, 70]                               21371.3627      1.000000       
394    [9, 54, 70]                              21361.2778      1.000000       
395    [2, 19]                                  21337.1052      1.000000       
396    [11, 46, 52]                             21319.8547      1.000000       
397    [19, 42, 46]                             21316.7586      1.000000       
398    [46, 60, 70]                             21282.3063      1.000000       
399    [11, 46, 50]                             21277.8375      1.000000       
400    [34, 46, 48]                             21270.4894      1.000000       
401    [9, 21, 50]                              21254.2429      1.000000       
402    [5, 46, 74]                              21243.6894      1.000000       
403    [11, 46, 70]                             21236.5829      1.000000       
404    [21, 46, 60]                             21231.8537      1.000000       
405    [9, 11, 70]                              21228.9522      1.000000       
406    [7, 11, 46]                              21095.6623      1.000000       
407    [9, 27, 34]                              21092.5551      1.000000       
408    [46, 70, 74]                             21091.1219      1.000000       
409    [5, 11]                                  21080.1883      1.000000       
410    [50, 62]                                 21066.2214      1.000000       
411    [46, 50, 62]                             21026.6226      1.000000       
412    [7, 46, 58]                              21022.3146      1.000000       
413    [5, 34, 50]                              21003.2374      1.000000       
414    [31, 46, 50]                             20985.7860      1.000000       
415    [5, 46, 60]                              20964.7905      1.000000       
416    [27, 39]                                 20937.0591      1.000000       
417    [9, 21, 70]                              20935.0358      1.000000       
418    [19, 27]                                 20924.6880      1.000000       
419    [31, 34, 46]                             20891.4420      1.000000       
420    [21, 29, 46]                             20863.1826      1.000000       
421    [11, 29, 46]                             20815.5911      1.000000       
422    [5, 50, 70]                              20814.6693      1.000000       
423    [2, 31]                                  20801.8925      1.000000       
424    [7, 34, 50]                              20782.7899      1.000000       
425    [19, 46, 60]                             20772.1595      1.000000       
426    [34, 50, 54]                             20765.6265      1.000000       
427    [15, 46, 48]                             20737.2452      1.000000       
428    [17, 19, 46]                             20715.9574      1.000000       
429    [5, 29, 46]                              20701.5658      1.000000       
430    [25, 34, 50]                             20696.2538      1.000000       
431    [2, 46, 70]                              20663.6010      1.000000       
432    [7, 9, 15]                               20660.4644      1.000000       
433    [5, 27]                                  20534.2395      1.000000       
434    [2, 7, 46]                               20504.5983      1.000000       
435    [9, 25, 54]                              20481.6907      1.000000       
436    [38, 46]                                 20462.9592      1.000000       
437    [9, 21, 54]                              20460.0664      1.000000       
438    [11, 46, 60]                             20418.6984      1.000000       
439    [11, 74]                                 20408.2604      1.000000       
440    [15, 48]                                 20348.3146      1.000000       
441    [21, 52]                                 20319.5521      1.000000       
442    [9, 58, 70]                              20300.6107      1.000000       
443    [7, 46, 52]                              20297.4521      1.000000       
444    [42, 46, 58]                             20271.4761      1.000000       
445    [34, 46, 68]                             20238.0500      1.000000       
446    [1, 21]                                  20220.7520      1.000000       
447    [13, 21]                                 20191.5847      1.000000       
448    [2, 9, 50]                               20180.3003      1.000000       
449    [46, 52, 58]                             20162.6502      1.000000       
450    [15, 46, 66]                             20147.7672      1.000000       
451    [9, 50, 74]                              20137.9751      1.000000       
452    [5, 9, 54]                               20130.8862      1.000000       
453    [11, 21, 46]                             20124.0187      1.000000       
454    [2, 46, 60]                              20118.5888      1.000000       
455    [11, 15, 34]                             20110.4025      1.000000       
456    [9, 15, 58]                              20104.5905      1.000000       
457    [46, 48, 54]                             20094.5806      1.000000       
458    [21, 46, 50]                             20073.5269      1.000000       
459    [34, 71]                                 20068.8668      1.000000       
460    [2, 42, 46]                              20068.6219      1.000000       
461    [9, 15, 25]                              20050.7998      1.000000       
462    [15, 21, 34]                             20037.3546      1.000000       
463    [9, 25, 70]                              20030.4222      1.000000       
464    [11, 46, 74]                             20015.8899      1.000000       
465    [7, 9, 34]                               19986.7933      1.000000       
466    [9, 21, 25]                              19980.5899      1.000000       
467    [34, 50, 58]                             19972.8070      1.000000       
468    [7, 42, 46]                              19954.7273      1.000000       
469    [19, 46, 74]                             19950.8501      1.000000       
470    [9, 52, 70]                              19913.2778      1.000000       
471    [3, 9, 50]                               19910.0170      1.000000       
472    [27, 42, 46]                             19873.2749      1.000000       
473    [34, 74]                                 19852.8246      1.000000       
474    [7, 50, 70]                              19803.6309      1.000000       
475    [9, 54, 74]                              19801.3058      1.000000       
476    [15, 31, 46]                             19779.7897      1.000000       
477    [9, 17]                                  19771.0425      1.000000       
478    [3, 46, 70]                              19724.7346      1.000000       
479    [15, 46, 74]                             19690.0955      1.000000       
480    [9, 42, 70]                              19684.7914      1.000000       
481    [5, 9, 21]                               19655.6779      1.000000       
482    [5, 9, 15]                               19650.2838      1.000000       
483    [52, 54]                                 19639.9950      1.000000       
484    [42, 46, 52]                             19624.2670      1.000000       
485    [9, 15, 54]                              19603.0928      1.000000       
486    [9, 27, 54]                              19580.7344      1.000000       
487    [21, 46, 74]                             19553.2061      1.000000       
488    [21, 34, 50]                             19544.7171      1.000000       
489    [11, 42, 46]                             19508.8137      1.000000       
490    [13, 34]                                 19490.6556      1.000000       
491    [2, 9, 34]                               19490.1428      1.000000       
492    [9, 29, 70]                              19451.8549      1.000000       
493    [9, 15, 27]                              19442.5993      1.000000       
494    [21, 44, 46]                             19435.4784      1.000000       
495    [25, 44, 46]                             19390.1261      1.000000       
496    [9, 34, 42]                              19375.4492      1.000000       
497    [34, 46, 66]                             19365.0966      1.000000       
498    [9, 21, 27]                              19358.4794      1.000000       
499    [9, 48]                                  19350.0132      1.000000       
500    [17, 70]                                 19348.1311      1.000000       
501    [54, 60]                                 19305.5964      1.000000       
502    [21, 51]                                 19299.4537      1.000000       
503    [9, 11, 54]                              19284.7394      1.000000       
504    [9, 44, 50]                              19280.5497      1.000000       
505    [9, 15, 52]                              19273.5488      1.000000       
506    [17, 34, 46]                             19263.6764      1.000000       
507    [2, 3]                                   19213.3952      1.000000       
508    [46, 54, 66]                             19211.5155      1.000000       
509    [7, 46, 74]                              19164.6839      1.000000       
510    [27, 46, 74]                             19145.2670      1.000000       
511    [7, 46, 60]                              19141.1879      1.000000       
512    [50, 58, 70]                             19135.2005      1.000000       
513    [21, 39]                                 19132.1188      1.000000       
514    [21, 60]                                 19116.4436      1.000000       
515    [44, 46, 70]                             19096.1238      1.000000       
516    [5, 34, 70]                              19094.3059      1.000000       
517    [7, 29, 46]                              19083.6238      1.000000       
518    [46, 58, 74]                             19081.1815      1.000000       
519    [9, 34, 58]                              19075.3247      1.000000       
520    [9, 60, 70]                              19059.4122      1.000000       
521    [29, 46, 58]                             19057.5067      1.000000       
522    [15, 50, 70]                             19051.8124      1.000000       
523    [46, 52, 74]                             19042.3501      1.000000       
524    [21, 34, 70]                             19037.6188      1.000000       
525    [25, 71]                                 19027.1543      1.000000       
526    [9, 48, 50]                              18992.5320      1.000000       
527    [2, 46, 74]                              18968.9383      1.000000       
528    [9, 15, 42]                              18965.6697      1.000000       
529    [46, 58, 60]                             18954.6919      1.000000       
530    [34, 50, 52]                             18941.3027      1.000000       
531    [9, 15, 60]                              18933.9641      1.000000       
532    [50, 54, 70]                             18851.2031      1.000000       
533    [9, 15, 19]                              18785.6643      1.000000       
534    [42, 46, 60]                             18785.5240      1.000000       
535    [9, 11, 21]                              18777.1895      1.000000       
536    [17, 46, 50]                             18769.4671      1.000000       
537    [7, 15, 50]                              18759.1225      1.000000       
538    [27, 74]                                 18722.7204      1.000000       
539    [2, 11, 46]                              18710.9033      1.000000       
540    [15, 44, 46]                             18698.3794      1.000000       
541    [29, 42, 46]                             18684.2471      1.000000       
542    [15, 50, 58]                             18678.7499      1.000000       
543    [9, 50, 66]                              18666.9939      1.000000       
544    [28, 46]                                 18660.2642      1.000000       
545    [9, 15, 29]                              18655.0355      1.000000       
546    [50, 52, 70]                             18627.9271      1.000000       
547    [44, 54]                                 18611.9652      1.000000       
548    [46, 54, 68]                             18607.3551      1.000000       
549    [9, 70, 74]                              18604.5471      1.000000       
550    [73]                                     18600.4800      1.000000       
551    [3, 46, 54]                              18556.1684      1.000000       
552    [9, 31, 50]                              18549.7832      1.000000       
553    [17, 46, 70]                             18545.8816      1.000000       
554    [9, 54, 58]                              18533.2215      1.000000       
555    [7, 9, 21]                               18496.9975      1.000000       
556    [29, 46, 52]                             18494.9668      1.000000       
557    [46, 52, 60]                             18449.5218      1.000000       
558    [34, 42, 50]                             18448.1621      1.000000       
559    [21, 44]                                 18446.3121      1.000000       
560    [34, 54, 70]                             18426.0845      1.000000       
561    [5, 44, 46]                              18423.7445      1.000000       
